ssp,CODE,gs_tmax_mean_diff,gs_tmin_mean_diff,gs_tmean_mean_diff,gs_hum_mean_diff,gs_vpd_mean_diff,gs_prep_total,ngs_tmax_mean_diff,ngs_tmin_mean_diff,ngs_tmean_mean_diff,ngs_hum_mean_diff,ngs_vpd_mean_diff,ngs_prep_total
SSP245,140123,1.9849682286126273,2.1355345977544786,2.060251385007586,1.1097546893528532,0.08007604667970109,50.73736980983188,1.9699642660971854,2.2311156367365257,2.1005399518540857,1.0245502910885362,0.054094185017294384,21.323304162493773
SSP245,610122,2.003787969180516,1.968905426913074,1.98634669733899,-0.2694181844166346,0.13623318404757545,27.337932595424352,2.055505923834522,2.2889485904139226,2.172227256580264,0.3271462243215173,0.08098159381559329,26.616848348022902
SSP245,140322,1.8828990350341797,2.1020862266826628,1.9924926260757445,1.3114056199645998,0.05589727987289426,72.84403209209441,1.938661648297211,2.2057698514303232,2.072215749742579,1.1732670914186976,0.042453460459330725,16.670089903771874
SSP245,152921,2.2432690622666307,2.370638339547551,2.306953715268303,0.5784550664565142,0.1916341661284951,14.440644832218393,1.9757558877275487,2.302930907735249,2.1393433921884726,1.1414269377960065,0.07536463683604286,5.8126524914713436
SSP245,140222,2.0421116968790693,2.1633763224283853,2.102744003758286,1.1153788902976296,0.0954435565869013,44.524166446743585,1.932786619829619,2.1523025868134757,2.0425446055436995,1.175854255909382,0.047118223483167014,17.473199716120053
SSP245,610302,2.0448620918032887,1.9705287721785867,2.007695423115741,-0.34868763357728394,0.14949299417190492,15.646882548928259,2.0353082761503223,2.27746994619957,2.1563891100591346,0.44398435919848,0.0856433826098643,17.562752902615237
SSP245,622924,2.068791655046599,2.0178645763652665,2.043328111427171,-0.14535750831876482,0.12118243853960717,16.394488425552844,2.052254067875643,2.3052609236894455,2.1787574906528526,0.6357609929236692,0.07234859707542748,9.046308842301366
SSP245,141123,2.050896170818444,2.1769624378247685,2.1139293070995446,0.9988104463057085,0.11168212888999417,60.5967635665879,1.9833534252871423,2.2464653582418856,2.1149093835935133,0.975437312550055,0.06391545648487625,29.811257825882144
SSP245,621027,2.0456773543631326,2.0330296640413525,2.039353508621112,0.11939548496409422,0.15379952380940606,21.74851767294598,2.0096491765401505,2.320883201683425,2.1652661868517318,0.8214323725027982,0.08466942355543992,15.726890853884877
SSP245,610125,2.0222590094293866,1.9714251141037258,1.9968420743261066,-0.3664154536383492,0.15352685560924662,19.389327929019927,2.059188862216156,2.287370303732104,2.1732795798778537,0.2879764801633041,0.08871417399924408,22.030841893758623
SSP245,141029,1.9768379856011806,2.127115251492231,2.0519766230460927,0.4872244513095954,0.13080229759827633,41.573822010786095,1.974098648799456,2.220992099364928,2.097545371941904,0.86339758847518,0.07825894158914981,25.157728218688412
SSP245,150302,2.2408540649414066,2.3963650864687835,2.318609549435702,0.802907537286932,0.20214527344703673,15.602548731998962,1.9870639078934567,2.317186945116956,2.1521254240544687,1.0960284448578328,0.08062206178493246,6.4125258373943215
SSP245,140824,1.975972171359592,2.123701738286901,2.0498369570131656,0.352481675889757,0.20975325305373577,43.9108938994231,1.9794129949387673,2.212515754158896,2.09596435505618,0.8177034689641062,0.1086931911407206,26.59773638596137
SSP245,141128,2.010119170205635,2.1508961890538534,2.0805076807925573,0.9830362910220498,0.08469106136288557,53.807154619902896,1.977933078750457,2.238571551738716,2.108252310636584,0.9642643751150101,0.058221697600396596,23.693514118591942
SSP245,620824,2.0609771749708385,2.006868120261601,2.0339226423747956,-0.08519919834439718,0.12884523724279703,18.062822212775544,2.0232958829156766,2.322472985140108,2.1728844279384893,0.645509287178692,0.07815976827208501,14.026650612739221
SSP245,150105,2.178985761502894,2.2481686309721414,2.21357722100979,0.8435747693689858,0.17982814542258654,34.400536723253204,1.9877601076796307,2.1947713164276537,2.091265705152751,0.91239413992136,0.07095272685963364,14.587446646719444
SSP245,140202,2.042286331176758,2.16182924079895,2.1020578002929686,1.2125912628173827,0.1244850363731384,40.87310457229614,1.9431347960753065,2.1792821354885814,2.061208493482028,1.1681230355100514,0.06216189379637662,17.79727929830551
SSP245,640104,2.219278046875001,2.333052314758301,2.276165158691407,0.603470073852539,0.20396307416915888,11.744797654151915,1.9772736321445323,2.2909497279250273,2.1341116778979163,1.1793746839024715,0.07447151680457637,8.101752125024793
SSP245,140431,1.9102786780504082,2.0887224101653463,1.9995005342410161,0.8254003702310416,0.0706670477711237,66.04786561716061,1.9655186544248862,2.2025125784602673,2.0840156133462933,0.9665514358955185,0.05670092790751713,22.44485662068025
SSP245,610402,2.0248957106045316,1.985757263643401,2.0053265514827907,-0.2929754103933062,0.21483495370263142,19.571049749851227,2.0481772351141876,2.3067523656429443,2.177464789345553,0.37790917893074955,0.1169541797828709,20.21986353397369
SSP245,130728,2.0687407836914065,2.17193936920166,2.120339996337891,1.0620841369628906,0.13833105278015137,43.97608041763306,1.9382306901251132,2.1452626103682144,2.0417466084492157,1.1655925497474513,0.061915546810231224,16.066356599330902
SSP245,632523,2.037144697424017,2.0377407326681976,2.0374427132410546,-0.16930785776351062,0.09112416762209796,19.440116183245422,2.121725637607971,2.3582461909361063,2.239985913171929,0.15049517651820477,0.06146217280779116,11.214303486464598
SSP245,140931,2.0789848640843447,2.1921845028274944,2.135584667908518,1.0417286477339893,0.12422275201897869,64.53358422141325,1.9869812675687677,2.25230376699341,2.119642523431601,0.975216222918432,0.06566715787353405,30.320939255388154
SSP245,150122,2.170529716362388,2.257608282444841,2.2140689988217113,0.8798072851148703,0.16076985946752254,35.916271112732964,1.9947421662506823,2.2356382574291622,2.1151902138226912,0.8824256152088561,0.06425791677123958,16.26604406762931
SSP245,610623,2.063323425445557,2.204540605659485,2.133932025756836,0.6247023503112793,0.12338208555221553,35.96018322348595,1.974118918190359,2.262879368665307,2.1184991418523906,0.9178638887603255,0.06636312314552634,29.97193778097629
SSP245,140428,1.8742583636772343,2.0659611876883153,1.9701097754501715,0.8140906468833365,0.08991856592457466,81.64292990579837,1.9678723688804118,2.1835569677149254,2.0757146658244467,0.9852929777877556,0.06599717020729072,25.038142958792243
SSP245,620403,2.066464795147963,2.095611238425722,2.081038018290432,0.29736112634269063,0.1347732212455104,11.055534621205506,2.017452263466198,2.341126548852661,2.179289405651986,1.084346098048938,0.06806270068675573,7.832567296120559
SSP245,140226,2.0645718489752873,2.1725431038891836,2.1185574678491657,1.156541366012008,0.09126989822034476,44.77836272893129,1.9575575369833729,2.195156587568025,2.076357060466583,1.0947874945503822,0.04898488751236321,19.27146738436487
SSP245,610426,2.0355455523121115,1.9976892863244424,2.016617424244783,-0.21421327357389489,0.17115414070839782,19.596021549190795,2.0321964918135396,2.3226037209464985,2.17740011258915,0.5017170154942876,0.09196514469935223,20.16236174660069
SSP245,141024,1.943218892805038,2.1082333663202104,2.0257261434985745,0.7224786234209614,0.15238987414298513,60.18142472159477,1.9691577326372243,2.2113433200948265,2.0902505207773414,0.9377943910025094,0.09025533434755029,23.720609680779518
SSP245,140110,1.9283403854370118,2.104568937619527,2.0164546750386556,1.19281830851237,0.09627206063270566,57.1700716416041,1.95878167337072,2.214766425463174,2.086774043975859,1.0802262452628109,0.06332223806762097,18.426925475398697
SSP245,140581,1.8660751856211069,2.069526222229004,1.9678007035126557,0.7141570356214368,0.10439920359688833,86.37990832167702,1.9725911665272926,2.179058859751232,2.0758250012343757,0.9349944495534473,0.07367498041021454,25.247703047217545
SSP245,141026,1.9019469288693198,2.0792179077245008,1.9905824203491211,0.7723912842183172,0.09628205006635637,63.84710257868225,1.9648318999429368,2.1925106679474684,2.0786712810305574,0.9781136803532092,0.06778190795460741,24.753272215965424
SSP245,140602,2.026394216485926,2.157622196700122,2.092008223920255,1.235838187758987,0.10516051231526034,53.42829226480948,1.9620108442869613,2.228464715253803,2.0952377803619497,1.0871987401122294,0.05649918440536781,22.772111592663297
SSP245,150104,2.1863366317749025,2.258836796760559,2.2225867471694944,0.8231525411605835,0.191369952917099,34.094981610774994,1.9933056818993755,2.207570972531663,2.1004383157768687,0.8863520340306136,0.07332004696184852,16.122755881398916
SSP245,410305,1.9027657623291017,2.104298189798991,2.0035320561726886,0.14296414693196613,0.18949303023020425,66.88974205652873,1.9918451335585134,2.165882093283151,2.078863606248489,0.6600435370396446,0.10345982198563515,29.812842031319935
SSP245,140722,1.8363429803371427,2.0658964626669887,1.9511197262763977,1.120323462486267,0.056032559871673555,74.44639235287904,1.9670552896327993,2.1920894490670864,2.0795723694055903,1.0707919699027826,0.05348054416674761,20.665296052023763
SSP245,640121,2.2255255340576174,2.3324693580627445,2.27899745287214,0.5471881430489676,0.22440038713727678,11.68487660033362,1.9726599285287412,2.2924378448219502,2.132548894215139,1.195691850387492,0.08373099914053589,7.3944065702812996
SSP245,150623,2.169595122705294,2.2900414246461533,2.229818274385347,0.6291608035770929,0.15497080363720414,18.476682902321098,1.979746518608839,2.2708924725122532,2.125319495447109,1.0949386962155656,0.06500139745635679,11.27415474539065
SSP245,610625,2.0989543970907896,2.220210530804049,2.1595824721797823,0.33149228997999625,0.13223621069385155,22.57063506649386,1.963441538973484,2.25469997031608,2.1090707562053046,0.9375088353821465,0.06281164191865705,26.828708197392764
SSP245,141031,1.98622397702535,2.145878293323517,2.0660511187871298,0.7173700421651205,0.10960961980819697,48.96601942976316,1.9725499584467083,2.235539004021166,2.1040444755702596,0.9033326460282998,0.07349909352110295,24.822031836335853
SSP245,140902,1.9537332653999329,2.122300615084171,2.0380169388771057,1.306068796730042,0.10610496044456956,60.746318072080605,1.9542631827325743,2.2227428146170385,2.088502994649638,1.1345119387282376,0.0628526715581069,16.46684769876301
SSP245,410181,1.8764498674547354,2.0938989492880333,1.9851744003295901,0.22513162025245462,0.13444889825099215,64.71320795690691,1.9991054006311089,2.1631904920147207,2.0811479459419053,0.6685680427050743,0.08033605411713919,29.36342599907437
SSP245,640522,2.0638928302422097,2.0852710212352172,2.0745819243496384,0.28894646508353095,0.13329980465693247,13.421629048437566,2.015992409593445,2.336072464191692,2.176032433756889,1.05621868418391,0.06573524215547269,9.30038851779383
SSP245,610523,1.9911327044817868,1.9764045722143992,1.9837686565944128,-0.01623558793749129,0.21372808376745298,27.367690392477172,2.0308370454046125,2.309225139786712,2.1700310908813694,0.5803533018765649,0.11722425982148844,31.268362410153664
SSP245,610632,2.013560125805576,2.02402792811764,2.0187940328757956,0.09300496918814523,0.15682140600792363,26.192409065106638,2.007496429205216,2.337683272354875,2.1725898514795228,0.7323186618633204,0.07754576911991397,21.503947286947582
SSP245,140623,2.0855136107479235,2.1858117232150343,2.1356626511998926,1.1137411636904064,0.10433373136979981,48.64283968454384,1.967340293398072,2.206748418424664,2.087044356864899,1.0440925526057565,0.05432341881504217,19.250070789492273
SSP245,640422,2.069566151705755,2.0473692021130963,2.0584676711927363,0.09569385106662452,0.12075480460639919,16.76959468087842,2.0214446124445535,2.3203128356610985,2.170878725369386,0.8916634154122385,0.06815631785931163,11.105554832806508
SSP245,150622,2.144571778017639,2.2485760671152297,2.1965739175694217,0.9363225170821423,0.13403276851425408,49.45350694806794,1.9900413118769475,2.2520872512934074,2.1210642803111175,0.9371026253196872,0.059189457462574535,18.83545607901898
SSP245,620802,2.0571288214543757,2.0223957771936463,2.0397622916605567,0.012452080077275721,0.1420724714095384,19.427605379711494,2.01776168089792,2.3217251289440237,2.1697434040338552,0.7438317838036841,0.08136486280750174,13.882374181569393
SSP245,640181,2.203805679050744,2.3015484294214987,2.252677054655467,0.4837949398392481,0.18486050796170606,11.98078266864127,1.966875751455425,2.279997717902349,2.1234367355471457,1.1852134336827027,0.0720826715298034,8.396162304630934
SSP245,150624,2.198431202275818,2.331474377408216,2.2649527902705446,0.7978963221753453,0.16352965337755568,23.9862393808681,1.9879738647809637,2.282716781936377,2.1353453222438046,1.089518574211074,0.06998033850766217,9.192905814237044
SSP245,632221,2.0460887142310282,2.103778627924596,2.0749336693968092,0.3782278444365636,0.08494296509605133,25.401332332354748,2.067084205121383,2.326209646940598,2.196646924463425,0.7862914384260816,0.04724910117231059,29.166677222311158
SSP245,140121,1.9264892193476357,2.1026552382310237,2.0145722201665244,1.1518282661437986,0.10195508635044094,55.88442639509836,1.9608289596739314,2.213591974986045,2.0872104675773104,1.0656866735442545,0.06686630917913991,18.41538408460716
SSP245,140827,1.9235910521287185,2.1022247759305515,2.012907916729267,0.3286026425875151,0.16455440953328057,57.652382183074955,1.9759559747703228,2.1868661920673507,2.0814110810407387,0.8084387207274767,0.09339544290443061,27.855912537185045
SSP245,150203,2.2347126617431634,2.3247561442057285,2.2797343864440918,0.7314605305989583,0.20553061644236242,25.27543556690216,1.9904221252616843,2.233061696566322,2.111741918251228,0.9695145150602772,0.07888970551381133,10.102404400706291
SSP245,610423,2.0246993596213207,1.9945574069023133,2.009628376279558,-0.23459235418410523,0.21794924064761112,20.517300500472388,2.0391681396504064,2.3177776561725802,2.17847289485214,0.44814066085140264,0.11902638982794624,21.831764376163477
SSP245,140702,1.8959391375269208,2.0922439027343476,1.994091525350298,1.2184323945726667,0.08262112165348866,61.606228905064725,1.9552200957646932,2.207310317604232,2.081265209842237,1.1131121471356413,0.0603752674956689,17.040245898600134
SSP245,140721,1.8739667729271785,2.076938498801655,1.9754526302019755,1.0872531055874295,0.06455045509338375,72.50944891737566,1.9634970787649828,2.198990000598218,2.0812435420552067,1.0585954187102116,0.05852680770382315,21.059626758098602
SSP245,140924,1.94982405731053,2.135361085845429,2.042592569443786,1.240932387564946,0.07053129705642029,71.26045807819924,1.9308395782754313,2.19176844424765,2.0613040137251577,1.1972018745439883,0.04406938412435073,28.277338807443964
SSP245,130426,1.8262939453124998,2.0611648025512697,1.943729413350423,1.091520751953125,0.05906107727686561,85.32428121566772,1.972218542507905,2.1869299187534903,2.079574226673543,1.0381704280320374,0.054133226649312687,21.422918279965717
SSP245,610424,2.032669337428346,1.9886650216011772,2.010667180447351,-0.27148635371201707,0.2041252774750294,18.963493543721377,2.040604173860819,2.3093099967116206,2.174957090435378,0.43705854202894234,0.11164349273594426,20.720808327907605
SSP245,610304,2.0480281239027507,1.9764719949973808,2.012250054029973,-0.30100400421645607,0.16364553736952633,16.157415153601992,2.032220766156242,2.287122500990628,2.1596716358608496,0.47851856165471096,0.09617554591087414,17.027131536996766
SSP245,150303,2.2247990194048204,2.3619364396049862,2.2933677217392696,0.7725296658107212,0.20521264889126728,15.20121139004117,1.987258264609086,2.2963841905991473,2.14182121813521,1.1355642214332073,0.08160945766352774,7.740631620798791
SSP245,611026,2.003389426640102,1.9618249041693552,1.9826071092060633,-0.3340547016688756,0.09248836913279121,25.615950495004654,2.0611771002279973,2.277409166888853,2.1692931061297394,0.25782667008121457,0.05729997863547988,24.729943245649338
