PROVINCE,ME,Year,CODE,A_ha,pro_t,Yield_t_ha,data_completeness_ratio,data_quality,total_days_available,expected_days,missing_days,gs_tmax_mean,gs_tmin_mean,gs_tmean_mean,gs_dtr_mean,gs_hum_mean,gs_vpd_mean,gs_prep_total,gs_days,gs_valid_ratio,ngs_tmax_mean,ngs_tmin_mean,ngs_tmean_mean,ngs_dtr_mean,ngs_hum_mean,ngs_vpd_mean,ngs_prep_total,ngs_days,ngs_valid_ratio,planting_day,harvest_day
14,小店区,2011,140105,8974.9,70023.9,7.802192782,1,excellent,365,365,0,28.2136,17.1288,22.298,11.0848,60.912,1.076104149,319.5,125,0.342465753,10.07984496,-2.035658915,3.58875969,12.11550388,38.40697674,0.603403636,43.2,129,0.353424658,130,254
14,小店区,2012,140105,8996.2,72026.1,8.0063,1,excellent,366,366,0,28.1992,17.4112,22.4432,10.788,60.7,1.078182298,371.7,125,0.341530055,10.83565891,-1.112790698,4.334496124,11.94844961,44.09689922,0.583768107,32.05,129,0.352459016,130,254
14,小店区,2013,140105,8685.87,73449.43,8.4562,1,excellent,365,365,0,29.1552,17.6948,22.9304,11.4604,63.952,1.030951297,348.4,125,0.342465753,12.71705426,-0.789922481,5.189147287,13.50697674,45.31782946,0.579986705,39.95,129,0.353424658,130,254
14,小店区,2014,140105,8250,72146,8.745,1,excellent,365,365,0,28.7372,15.742,21.938,12.9952,62.328,1.017559624,297.85,125,0.342465753,12.56976744,-1.308914729,5.009689922,13.87868217,48.93023256,0.515979688,48.7,129,0.353424658,130,254
14,小店区,2015,140105,7694,66014,8.5799,1,excellent,365,365,0,28.9904,16.1364,22.374,12.854,58.68,1.151922213,254.75,125,0.342465753,12.63914729,-1.390310078,5.053875969,14.02945736,45.99612403,0.556997559,57.45,129,0.353424658,130,254
14,小店区,2016,140105,7483.9,61850,8.2644,1,excellent,366,366,0,28.4944,16.2804,21.9964,12.214,65.692,0.913404168,419.5,125,0.341530055,11.95968992,-2.177906977,4.334496124,14.1375969,43.89534884,0.549637532,48.35,129,0.352459016,130,254
14,小店区,2017,140105,7082.7,56520,7.98,1,excellent,365,365,0,30.1316,16.5752,23.0308,13.5564,62.316,1.102188768,333.9,125,0.342465753,12.45271318,-1.335271318,5.105813953,13.7879845,47.65891473,0.54169126,45.65,129,0.353424658,130,254
14,小店区,2018,140105,363.3,3034.6,8.3535,1,excellent,365,365,0,29.5528,17.3072,23.1536,12.2456,65.092,1.010603323,338.9,125,0.342465753,13.25697674,-1.496124031,5.237209302,14.75310078,44.27131783,0.585639407,35.85,129,0.353424658,130,254
14,小店区,2019,140105,1168,4662.8,3.9921,1,excellent,365,365,0,30.5976,16.4008,23.33,14.1968,53.996,1.33484421,219.6,125,0.342465753,12.48372093,-2.788372093,4.279457364,15.27209302,43.17054264,0.546415876,48.85,129,0.353424658,130,254
14,小店区,2020,140105,1856.8,7486.9,4.0322,1,excellent,366,366,0,29.28369176,16.17320789,22.27410394,13.11048387,63.08467742,1.008110702,364.9,125,0.341530055,12.99371232,-2.281050818,4.872523686,15.27476314,52.32403101,0.519346724,97.3,129,0.352459016,130,254
14,小店区,2021,140105,1949.5,8070,4.1394,1,excellent,365,365,0,30.25448889,17.72755556,23.37576667,12.52693333,63.4936,1.07281536,252.6388889,125,0.342465753,13.81782946,0.711326443,6.5958118,13.10650301,47.0496063,0.581465783,47.94,129,0.353424658,130,254
14,小店区,2022,140105,2070.7,8826.6,4.2625,1,excellent,365,365,0,29.60871111,15.89564444,22.46115556,13.71306667,64.1896,1.014837647,381.8022222,125,0.342465753,12.59758829,-3.064341085,4.291731266,15.66192937,49.00697674,0.520289349,16.28,129,0.353424658,130,254
14,迎泽区,1984,140106,76.79074529,63.5526552,0.827608261,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,1985,140106,70.68239055,60.74153812,0.859358854,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,1986,140106,85.51696635,73.85465464,0.863625755,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,1987,140106,93.3705653,69.77062278,0.747244301,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,1988,140106,96.91922853,87.20978785,0.899819253,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,1989,140106,89.79281467,92.02917815,1.024905818,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,1990,140106,106.7216835,119.7726697,1.122289921,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,1991,140106,110.5612208,98.52406869,0.891126816,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,1992,140106,113.3530448,117.5642673,1.037151385,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,1993,140106,108.3796655,120.8408011,1.114976694,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,1994,140106,121.7301751,145.4543652,1.194891612,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,1995,140106,125.0024916,133.907376,1.071237655,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,1996,140106,123.1699944,125.5903789,1.019650765,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,1997,140106,123.0391017,123.8473933,1.006569388,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,1998,140106,150,175,1.166666667,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,1999,140106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2000,140106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2001,140106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2002,140106,130,101,0.776923077,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2003,140106,120,105,0.875,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2004,140106,120,150,1.25,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2005,140106,100,116,1.16,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2006,140106,110,185,1.681818182,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2007,140106,80,140,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2008,140106,100,121,1.21,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2009,140106,168,184.7,1.099404762,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2010,140106,130.6,160.8,1.231240429,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2011,140106,94.8,164.7,1.737341772,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2012,140106,108.6,237.1,2.1831,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2013,140106,83.65,182.63,2.1833,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2014,140106,78,223,2.859,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2015,140106,87.8,223,2.5433,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2016,140106,90.4,268.8,2.9735,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2017,140106,73.1,143.1,1.9576,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2018,140106,24,48.6,2.025,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2019,140106,25.5,23.3,0.9137,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2020,140106,49.7,64.9,1.3056,,,,,,,,,,,,,,,,,,,,,,,,,
14,迎泽区,2021,140106,52.7,109.4,2.0772,1,excellent,365,365,0,29.07344848,17.24704333,22.57726386,11.82640515,73.75042017,0.722340459,217.0267857,125,0.342465753,12.71795404,0.787306202,6.005804725,11.93064784,54.40775194,0.474549067,40.92857143,129,0.353424658,130,254
14,迎泽区,2022,140106,53,111.9,2.1142,0.964383562,excellent,352,365,13,30.7875,13.075,22.0875,17.7125,50.3,1.318373644,418.8625,125,0.342465753,4.1625,-6.175,-1.9625,10.3375,71.8,0.14925759,11.1625,117,0.320547945,130,254
14,杏花岭区,1984,140107,124.3647379,113.7283972,0.914474627,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,1985,140107,114.4720883,108.6978625,0.949557784,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,1986,140107,138.4970944,132.1639745,0.954272543,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,1987,140107,151.2162153,124.8555403,0.825675607,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,1988,140107,156.9633737,156.0631789,0.994264937,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,1989,140107,145.4219492,164.6875476,1.132480678,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,1990,140107,172.8387209,214.3349278,1.240086288,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,1991,140107,179.0569578,176.3102484,0.984660136,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,1992,140107,183.578394,210.3829597,1.146011549,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,1993,140107,175.5238687,216.2463644,1.232005459,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,1994,140107,197.1453885,260.2926939,1.320308306,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,1995,140107,202.4449957,239.6291894,1.183675539,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,1996,140107,199.4772157,224.7458027,1.126674051,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,1997,140107,199.2652314,221.6267046,1.112219643,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,1998,140107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,1999,140107,170,44,,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2000,140107,110,55,,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2001,140107,140,37,,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2002,140107,250,548,,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2003,140107,110,160,1.454545455,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2004,140107,210,206,0.980952381,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2005,140107,270,266,0.985185185,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2006,140107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2007,140107,380,369,0.971052632,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2008,140107,300,361,1.203333333,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2009,140107,364.6,319.1,0.875205705,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2010,140107,330.5,347.3,1.050832073,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2011,140107,358.9,466.6,1.300083589,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2012,140107,332.1,526.2,1.5818,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2013,140107,329.4,565.65,1.7172,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2014,140107,316,518,1.6392,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2015,140107,277.9,472,1.6995,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2016,140107,275.1,480,1.7448,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2017,140107,259,450.2,1.7382,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2018,140107,75.5,132.8,1.7595,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2019,140107,13,25,1.9231,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2020,140107,132,379.1,2.8726,,,,,,,,,,,,,,,,,,,,,,,,,
14,杏花岭区,2021,140107,139.8,465.8,3.331,1,excellent,365,365,0,29.08811475,17.31980874,22.53688525,11.76830601,51.29266055,1.373110585,188.7333333,125,0.342465753,12.74134367,1.180103359,6.236692506,11.56124031,33.58449612,0.684890002,1.35,129,0.353424658,130,254
14,杏花岭区,2022,140107,149.3,507.6,3.3987,0.964383562,excellent,352,365,13,30.53333333,13.28333333,22,17.25,37,1.662287615,364.4166667,125,0.342465753,3.783333333,-5.983333333,-1.916666667,9.766666667,49.5,0.268191812,7.333333333,117,0.320547945,130,254
