Year,CODE,True_Value_Log,Fitted_Value_Log,Residual_Log,True_Value_Original,Fitted_Value_Original,Residual_Original,Standardized_Residual,Absolute_Error_Log,Absolute_Error_Original,Squared_Error_Log,Squared_Error_Original,Leverage,Cooks_Distance,Relative_Error_Original,Percentage_Error_Original
2006,610524,8.494736869882031,8.380610907456369,0.11412596242566231,4888.969723999996,4361.672690831372,527.2970331686238,0.41162353673982593,0.11412596242566231,527.2970331686238,0.013024735299583685,278042.1611884327,0.026403547261026575,9.978221780918719e-05,0.10785442801580832,10.785442801580832
2007,610524,8.558496935476546,8.431885549945452,0.12661138553109375,5210.843049999998,4591.14877696199,619.6942730380079,0.4566553060858973,0.12661138553109375,619.6942730380079,0.016030442946103254,384020.992036105,0.02956110931280794,0.000138391622107404,0.11892399504107269,11.892399504107269
2008,610524,8.64477754563589,8.382924818324241,0.26185272731164844,5680.403486999997,4371.776898282192,1308.6265887178051,0.944436685834717,0.26185272731164844,1308.6265887178051,0.06856685080054851,1712503.5486991995,0.02375360312946415,0.00047000745487798764,0.2303756399897805,23.03756399897805
2009,610524,8.636246735368374,8.512182916601406,0.12406381876696848,5632.151151000003,4975.011278381128,657.1398726188745,0.44746687587035255,0.12406381876696848,657.1398726188745,0.0153918311270432,431832.81218555063,0.024838478674602746,0.00011057122084161909,0.1166765335305672,11.66765335305672
2010,610524,8.736326930648573,8.430546699244887,0.30578023140368593,6224.988852999995,4585.006027235529,1639.9828257644667,1.1028721041234817,0.30578023140368593,1639.9828257644667,0.09350154991729172,2689543.6688024052,0.023927454014513162,0.0006458490724578042,0.2634515281058075,26.345152810580753
2011,610524,8.544657377013177,8.428680295285226,0.11597708172795151,5139.224014000001,4576.456534716389,562.7674792836124,0.41830005677033133,0.11597708172795151,562.7674792836124,0.013450683486131945,316707.2357392311,0.02553135627725207,9.946320199473187e-05,0.10950436831524586,10.950436831524586
2012,610524,8.653059503144307,8.632713909623305,0.02034559352100196,5727.643698000001,5612.288848099364,115.35484990063651,0.07338141982934619,0.02034559352100196,115.35484990063651,0.0004139431757218369,13306.74139559838,0.026067941228656785,3.128744304938578e-06,0.020140018475820438,2.0140018475820436
2013,610524,8.621287511807068,8.651170789630795,-0.029883277823726573,5548.525589000004,5716.836029454614,-168.3104404546093,-0.10778143943533763,0.029883277823726573,168.3104404546093,0.0008930102934900284,28328.404366024584,0.02741257993034288,7.117525228621136e-06,-0.030334264076980394,-3.0334264076980393
2014,610524,8.577105830515473,8.66820680042841,-0.09110096991293659,5308.718938000001,5815.062427125965,-506.34348912596397,-0.32857820112945096,0.09110096991293659,506.34348912596397,0.008299386719077779,256383.7289802552,0.027477189038629883,6.631299525943961e-05,-0.09537960005784805,-9.537960005784806
2015,610524,8.587650327198121,8.600421885236011,-0.01277155803789043,5364.992876000004,5433.951611802413,-68.95873580240914,-0.04606378581612125,0.01277155803789043,68.95873580240914,0.00016311269471520364,4755.307243466464,0.026088110243368386,1.2338744831568087e-06,-0.012853462697199877,-1.2853462697199878
2016,610524,8.542362498369794,8.70979909805814,-0.16743659968834557,5127.443640999995,6062.024493199133,-934.5808521991376,-0.6039015477157521,0.16743659968834557,934.5808521991376,0.02803501491519528,873441.3692972662,0.027870249702291017,0.00022739091960851505,-0.18227033150126795,-18.227033150126797
2017,610524,8.5246657396543,8.67732330259251,-0.1526575629382112,5037.502686999997,5868.317839025849,-830.8151520258516,-0.5505972929484753,0.1526575629382112,830.8151520258516,0.023304331522233913,690253.816835739,0.027841891526578393,0.00018881718399906499,-0.16492599679795505,-16.492599679795504
2018,610524,8.582483628918832,8.769469151075533,-0.18698552215670183,5337.345061999995,6434.755674414969,-1097.410612414974,-0.6744095761682514,0.18698552215670183,1097.410612414974,0.03496358549621443,1204310.052241008,0.032567196124574004,0.00033460671220284215,-0.20560983029336974,-20.560983029336974
2019,610524,8.676257065939707,8.644737021900532,0.03152004403917452,5862.064158000003,5680.173300496405,181.89085750359754,0.11368484199247085,0.03152004403917452,181.89085750359754,0.0009935131762315013,33084.28404339403,0.027906574545697053,8.069452803244063e-06,0.031028465844299868,3.1028465844299866
2020,610524,8.721442628627148,8.474027613511929,0.24741501511521946,6133.020380000004,4788.763971184475,1344.2564088155286,0.8923635025693682,0.24741501511521946,1344.2564088155286,0.061214189704464274,1807025.2926416215,0.02431365408875536,0.00042999342918902356,0.21918342440197922,21.91834244019792
2021,610524,8.713905067775325,8.530135810096688,0.1837692576786374,6086.966151999997,5065.133684405611,1021.8324675943859,0.6628093221032405,0.1837692576786374,1021.8324675943859,0.03377114006775743,1044141.5918300317,0.026462297407330616,0.00025932695027008554,0.1678722112260542,16.78722112260542
2022,610524,8.654084929475596,8.624449653573915,0.029635275901680913,5733.519986999996,5566.098583015672,167.42140398432366,0.10688695910762779,0.029635275901680913,167.42140398432366,0.0008782495777687494,28029.926512082107,0.026722870421596785,6.814091389484885e-06,0.029200457025340406,2.9200457025340407
1980,610525,7.779204559130138,8.144249805410418,-0.36504524628028,2390.372664,3443.521110185484,-1053.1484461854839,-1.3166260520416166,0.36504524628028,1053.1484461854839,0.1332580318318303,1109121.649702899,0.02481624759934484,0.0009563933099691476,-0.4405791875243282,-44.05791875243282
1981,610525,7.427916756333952,8.338873875711007,-0.9109571193770556,1682.299281,4183.3760864620635,-2501.0768054620635,-3.2855923694010536,0.9109571193770556,2501.0768054620635,0.8298428733437431,6255385.186820321,0.023872895037027178,0.005718315951061726,-1.4867014648994927,-148.67014648994927
1982,610525,7.74695903214236,8.167447363406657,-0.42048833126429663,2314.523311000001,3524.336122288272,-1209.812811288271,-1.5165952636375575,0.42048833126429663,1209.812811288271,0.17681043672943286,1463647.0383572294,0.025182621066172924,0.0012886715365651841,-0.5227049585279682,-52.27049585279681
