Year,CODE,True_Value_Log,Fitted_Value_Log,Residual_Log,True_Value_Original,Fitted_Value_Original,Residual_Original,Standardized_Residual,Absolute_Error_Log,Absolute_Error_Original,Squared_Error_Log,Squared_Error_Original,Leverage,Cooks_Distance,Relative_Error_Original,Percentage_Error_Original
2004,610628,8.908466601132261,8.774196022425539,0.13427057870672243,7394.313967999997,6465.24393693658,929.0700310634165,0.4071048343467966,0.13427057870672243,929.0700310634165,0.018028588306238144,863171.1226201778,0.0290845001698886,2.0256161037898352e-05,0.12564654883253626,12.564654883253626
2005,610628,8.88025835875709,8.686526789158222,0.19373156959886728,7188.647745999996,5922.576123123689,1266.0716228763067,0.58738898207596,0.19373156959886728,1266.0716228763067,0.03753192105924076,1602937.354252645,0.029151129465166504,4.227168936310656e-05,0.17612097123284295,17.612097123284297
2006,610628,8.859195474391708,8.689968731899032,0.16922674249267544,7038.817556999993,5942.996413592968,1095.8211434070254,0.5130909960551129,0.16922674249267544,1095.8211434070254,0.028637690374682286,1200823.9783378805,0.029000211808373758,3.207728274512431e-05,0.15568256096043412,15.568256096043411
2008,610628,8.91278841459404,8.823250956888065,0.08953745770597443,7426.339968999997,6790.303766511497,636.0362024884998,0.2714751976070768,0.08953745770597443,636.0362024884998,0.00801695633244916,404542.050875992,0.028851499296834282,8.93106602679843e-06,0.08564598512100519,8.564598512100519
2009,610628,8.883794878108159,8.734588803676472,0.14920607443168699,7214.115545,6214.178429639375,999.9371153606244,0.4523888613582521,0.14920607443168699,999.9371153606244,0.022262452647314118,999874.2346757266,0.029473606800877933,2.5368119615069113e-05,0.13860841417402395,13.860841417402394
2010,610628,9.003224906615593,8.852223474296833,0.1510014323187594,8129.257798000002,6989.91359762616,1139.3442003738428,0.4578323388665027,0.1510014323187594,1139.3442003738428,0.022801432562316877,1298105.2069255111,0.029810917662471948,2.6297919752046147e-05,0.14015353291590157,14.015353291590158
2011,610628,8.995945206448683,8.687428305642765,0.30851690080591787,8070.294117999995,5927.917830586531,2142.3762874134645,0.9354150626707026,0.30851690080591787,2142.3762874134645,0.09518267808288856,4589776.1568714995,0.03178007205333642,0.00011750637991230052,0.26546446214830083,26.546446214830084
2012,610628,8.960623225532606,8.942875910292965,0.01774731523964057,7790.211007999994,7653.175282363019,137.03572563697526,0.05380938922230566,0.01774731523964057,137.03572563697526,0.00031496719821517846,18778.79010085236,0.033820005287624876,4.155464724405648e-07,0.01759075915867353,1.759075915867353
2013,610628,8.70983343365472,9.003095889396079,-0.2932624557413579,6062.232639999998,8128.20905141683,-2065.976411416832,-0.8891639897187911,0.2932624557413579,2065.976411416832,0.0860028679474519,4268258.532530771,0.03559494140967349,0.00011986128805338976,-0.34079464350890243,-34.07946435089024
2014,610628,8.716336084236612,9.077534188922183,-0.36119810468557034,6101.7816680000005,8756.347885237425,-2654.566217237424,-1.0951430759494745,0.36119810468557034,2654.566217237424,0.13046407082844824,7046721.801698207,0.03332896360646552,0.00016945407041835033,-0.43504772239868084,-43.50477223986808
